"","SPY.Adjusted"
"1",0.711272456619515
"2",0.211734820677831
"3",1.05718378053153
"4",0.418392195154934
"5",-0.0695599744522332
"6",0
"7",-0.694908935919189
"8",0.139941512245765
"9",0.489338596933729
"10",-0.765136214794744
"11",-2.52272829879529
"12",-0.0717614173055679
"13",-0.0720840818276279
"14",0.360064418685821
"15",0.358520520589642
"16",-0.0712637461927289
"17",1.28754561166959
"18",0.211734820677831
"19",0.140924100321738
"20",-0.281516079564962
"21",1.48218936311248
"22",0.417231762454993
"23",-0.554035183180992
"24",-0.278550277401184
"25",2.23460188304172
"26",-0.34162168495331
"27",0.205707757592064
"28",-0.273495660653027
"29",-1.02900475340137
"30",0.485244543125333
"31",0
"32",-0.620801838542848
"33",0.624679862614969
"34",-0.151454574708954
"35",-0.555154505105886
"36",0.209407030742015
"37",0
"38",0.626696508819664
"39",-0.553684244054501
"40",0.417549657392488
"41",0.277196073076128
"42",-0.0690347666609486
"43",-0.345839956203968
"44",-2.0819067823052
"45",0.496273298061614
"46",-0.282150631975591
"47",0.353544617912953
"48",-0.140940352028313
"49",1.41137843329646
"50",0.208919453573351
"51",-0.13892003183562
"52",0
"53",0
"54",-0.41725878966681
"55",-0.48885699496644
"56",-0.0700720619249326
"57",-1.26408951421662
"58",-0.426726526534977
"59",-0.785827102758229
"60",1.07999458584942
"61",-0.21378276791172
"62",0.428224672126294
"63",0.142185748043057
"64",0.638918408652503
"65",0.352436274011625
"66",0.281127663861912
"67",-0.350256600506133
"68",-0.211083690320091
"69",0.211530196064084
"70",0.421957066911984
"71",-0.140147731938514
"72",-1.19222376308104
"73",-0.0708822088282034
"74",0.355044045787753
"75",-0.0706600126604619
"76",2.05370533450894
"77",0.277612428988451
"78",-0.899598772822519
"79",0.419007133761761
"80",0.208527170448407
"81",1.24913633056733
"82",-0.342581450558638
"83",-0.481568137798711
"84",0.9675096262286
"85",-0.136864460468557
"86",-0.342581450558638
"87",-0.344006624873781
"88",-0.344910759465886
"89",-0.900455847962539
"90",0.349507929858113
"91",0.0695423449377887
"92",0.417549657392488
"93",-0.138589254616882
"94",-0.208093239504175
"95",0.208527170448407
"96",0.347040159740425
"97",-0.823415780659992
"98",0.210523264886729
"99",0.0701763148165326
"100",-0.910475084329809
"101",1.34287562335868
"102",-0.0698793084064903
"103",1.11655367659078
"104",-0.482956199364389
"105",0
"106",-0.277352174013803
"107",-0.556348616431577
"108",-1.04909396813997
"109",0.282744356104228
"110",1.1275084494055
"111",0.278768556963575
"112",-0.0693637364594943
"113",-0.0696708957594642
"114",0.348036931949625
"115",-0.416122503516289
"116",-0.278490091176472
"117",-0.0699979701818751
"118",0.279551375597894
"119",-0.0695816532001721
"120",-0.697304871358926
"121",0.491395324136233
"122",0.559099233897195
"123",-0.0693637364594943
"124",-0.208774675677699
"125",0.557473979046723
"126",-0.554383435648835
"127",0.278768556963575
"128",0.0695666055389455
"129",0
"130",-0.208407929099432
"131",0.139179746670869
"132",0.55592073933047
"133",-0.0689872176943376
"134",0
"135",-0.276637127031115
"136",0.138704010709298
"137",0.554037099770596
"138",0.34420885363907
"139",0.549080591848387
"140",0
"141",0.0683629106507316
"142",-0.204780390412466
"143",1.09365779282868
"144",0.0677260231382017
"145",0.0674829371180695
"146",-0.0674374283606948
"147",0.405400947543004
"148",0.269255088695596
"149",-0.134272782272969
"150",-0.336145130159338
"151",0.0675637034901348
"152",-0.67388184596149
